Name,Comment,Date,Like Count
@ayazgultemirova9482,"Ештеңе де ұмытылмаиды,өшпеиді Алланың қалауымен Әумин Әумин","3/23/24, 10:58:53 AM",7
@MadyfilmNarmatov,казак балаларым  оянгыла   деп  Кыргыз  атаңар,"3/23/24, 3:33:58 PM",0
@sergeykolmagorov8915,Алаш Қазақ ояныңыздар саяси сауат ашыңыздар Халық ояныңыздар бірігейік көздеріңізді ашыңыздар Алаш Қазақ ояныңыздар,"3/23/24, 1:23:21 PM",3
@user-tx1gd5ck5m,"Барша Қазақ Еліне !!! Наурыз Мейрамы Құтты Болсын Ақ Молсын Ұлыіс Оң Болсын !!!
Қазақ Еліне !!! Қой Үстіне Бозторғай Жұмыртқалайтын Заман Келсін Деп Тілеимін АЛЛА ТАҒАЛАДАН !!! ӘУМИН ! 🤲🤲🤲","3/23/24, 11:32:18 AM",3
@user-xm6pu1cl1o,"Ұлыстың ұлы күнін, 
Әз ЖАҢА-ЫРЫС мерекесін, қайта жаңғыртқан, Өзбекәлі Жәнібек ағамыз!    
Жарықтықтың жаны, 
    жұмақта болсын!","3/24/24, 1:45:25 AM",0
@user-zy1sk1ed8w,🤝🤲🇰🇿🕌🤲🤲🤲🤲🤲,"3/23/24, 4:35:20 PM",3
